Size (bp),A1: CFD1806872
5094.05,148.69
5125.29,150.73
5156.53,152.74
5187.77,154.68
5219.01,155.89
5250.25,155.61
5281.49,153.57
5312.73,150.67
5343.97,148.74
5375.21,148.87
5406.45,150.73
5437.69,153.18
5468.93,155.00
5500.17,155.51
5531.41,155.20
5562.65,155.24
5593.89,156.64
5625.12,160.44
5656.36,169.03
5687.60,189.97
5718.84,244.40
5750.08,376.34
5781.32,654.74
5812.56,1159.33
5843.80,1940.08
5875.04,2955.37
5906.28,4034.22
5937.52,4914.43
5968.76,5350.73
6000.00,5228.44
6030.93,4611.54
6061.90,3698.71
6092.87,2724.65
6123.85,1872.64
6154.82,1232.96
6185.79,807.00
6216.77,545.10
6247.74,390.14
6278.71,299.27
6309.69,245.29
6340.66,211.98
6371.63,189.77
6402.60,173.36
6433.58,160.75
6464.55,151.64
6495.52,145.55
6526.50,141.59
6557.47,138.90
6588.44,136.93
6619.42,135.09
6650.39,132.61
6681.36,129.07
6712.33,125.37
6743.31,123.04
6774.28,122.37
6805.25,122.54
6836.23,122.50
6867.20,121.00
6898.17,117.21
6929.15,111.78
6960.12,106.32
6991.09,102.25
7022.07,100.27
7053.04,99.99
7084.01,100.31
7114.98,100.52
7145.96,100.50
7176.93,99.94
7207.90,98.35
7238.88,95.50
7269.85,91.66
7300.82,88.03
7331.80,86.32
7362.77,87.20
7393.74,89.82
7424.72,92.99
7455.69,95.89
7486.66,97.79
7517.63,97.88
7548.61,96.20
7579.58,93.11
7610.55,89.24
7641.53,86.09
7672.50,84.68
7703.47,84.65
7734.45,85.13
7765.42,85.68
7796.39,86.14
7827.36,86.34
7858.34,86.23
7889.31,85.68
7920.28,84.51
7951.26,83.03
7982.23,81.65
8013.20,80.39
8044.18,79.07
8075.15,77.86
8106.12,77.38
8137.10,77.60
8168.07,77.50
8199.04,76.63
8230.01,75.81
8260.99,75.72
8291.96,76.01
8322.93,75.89
8353.91,75.10
8384.88,73.92
8415.85,72.69
8446.83,71.86
8477.80,71.85
8508.77,72.26
8539.75,71.97
8570.72,70.65
8601.69,69.08
8632.66,67.90
8663.64,67.01
8694.61,65.93
8725.58,64.28
8756.56,62.34
8787.53,60.76
8818.50,59.55
8849.48,58.05
8880.45,56.00
8911.42,53.78
8942.39,51.54
8973.37,49.08
9004.34,46.85
9035.31,45.86
9066.29,46.74
9097.26,49.12
9128.23,51.66
9159.21,53.07
9190.18,53.11
9221.15,52.54
9252.12,52.40
9283.10,53.03
9314.07,53.93
9345.04,54.59
9376.02,54.66
9406.99,53.73
9437.96,51.90
9468.94,50.06
9499.91,49.33
9530.88,50.02
9561.86,51.23
9592.83,51.77
9623.80,51.37
9654.77,50.47
9685.75,49.21
9716.72,47.36
9747.69,44.99
9778.67,42.73
9809.64,41.35
9840.61,41.15
9871.59,41.78
9902.56,42.56
9933.53,42.67
9964.50,41.40
9995.48,38.92
10026.45,36.80
10057.42,36.67
10088.40,38.55
10119.37,40.90
10150.34,41.98
10181.32,41.22
10212.29,39.40
10243.26,37.61
10274.24,36.38
10305.21,35.88
10336.18,36.08
10367.16,36.64
10398.13,36.93
10429.10,36.59
10460.07,35.63
10491.05,34.24
10522.02,32.94
10552.99,32.38
10583.97,33.10
10614.94,32.73
10645.91,31.27
10676.89,28.98
10707.86,26.51
10738.83,24.83
10769.80,24.56
10800.78,25.36
10831.75,26.52
10862.72,27.73
10893.70,28.87
10924.67,29.43
10955.64,28.83
10986.62,27.18
11017.59,25.41
11048.56,24.40
11079.54,24.56
11110.51,25.65
11141.48,26.89
11172.45,27.78
11203.43,28.24
11234.40,27.94
11265.37,26.55
11296.35,24.68
11327.32,23.52
11358.29,23.49
11389.27,23.95
11420.24,24.16
11451.21,23.92
11482.18,23.21
11513.16,22.07
11544.13,20.75
11575.10,19.40
11606.08,18.19
11637.05,17.76
11668.02,18.62
11699.00,20.22
11729.97,21.35
11760.94,21.36
11791.92,20.54
11822.89,19.55
11853.86,18.63
11884.83,17.54
11915.81,16.19
11946.78,15.10
11977.75,14.66
12008.73,14.30
12039.70,13.48
12070.67,12.49
12101.65,11.93
12132.62,12.05
12163.59,12.54
12194.57,12.83
12225.54,12.63
12256.51,12.22
12287.48,12.10
12318.46,12.71
12349.43,13.89
12380.40,14.45
12411.38,13.33
12442.35,11.08
12473.32,9.09
12504.30,8.07
12535.27,8.01
12566.24,8.59
12597.21,9.37
12628.19,10.17
12659.16,10.97
12690.13,11.18
12721.11,10.28
12752.08,8.95
12783.05,8.20
12814.03,8.29
12845.00,9.12
12875.97,10.52
12906.95,11.65
12937.92,11.75
12968.89,11.04
12999.86,10.06
13030.84,8.94
13061.81,7.89
13092.78,7.53
13123.76,8.18
13154.73,9.20
13185.70,9.71
13216.68,9.29
13247.65,8.02
13278.62,6.45
13309.59,5.66
13340.57,6.29
13371.54,7.62
13402.51,8.33
13433.49,8.07
13464.46,7.71
13495.43,7.92
13526.41,8.36
13557.38,8.29
13588.35,7.39
13619.33,6.02
13650.30,4.69
13681.27,5.12
13712.24,5.86
13743.22,6.72
13774.19,7.50
13805.16,7.69
13836.14,6.99
13867.11,5.69
13898.08,4.33
13929.06,3.28
13960.03,2.61
13991.00,2.40
14021.97,2.70
14052.95,3.37
14083.92,3.94
14114.89,4.12
14145.87,4.12
14176.84,4.30
14207.81,4.62
14238.79,4.74
14269.76,4.48
14300.73,4.03
